User,exerciseType,rep_count,t (sec),acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,magnet_x,magnet_y,magnet_z
Charles,bicep curls,0,0.20143604278564453,0.01,0.91,-0.14,-114,-927,193,-376.28,-226.32,567.64
Charles,bicep curls,0,0.20143604278564453,0.01,0.91,-0.14,-114,-927,193,-376.28,-226.32,567.64
Charles,bicep curls,0,0.20143604278564453,0.01,0.91,-0.14,-114,-927,193,-376.28,-226.32,567.64
Charles,bicep curls,0,0.20143604278564453,0.01,0.91,-0.14,-114,-927,193,-376.28,-226.32,567.64
Charles,bicep curls,0,0.20143604278564453,0.01,0.91,-0.14,-114,-927,193,-376.28,-226.32,567.64
Charles,bicep curls,0,0.20143604278564453,0.01,0.91,-0.14,-114,-927,193,-376.28,-226.32,567.64
Charles,bicep curls,0,0.20143604278564453,0.01,0.91,-0.14,-114,-927,193,-376.28,-226.32,567.64
Charles,bicep curls,0,0.20143604278564453,0.01,0.91,-0.14,-114,-927,193,-376.28,-226.32,567.64
Charles,bicep curls,0,0.20143604278564453,0.01,0.91,-0.14,-114,-927,193,-376.28,-226.32,567.64
Charles,bicep curls,0,0.20143604278564453,0.01,0.91,-0.14,-114,-927,193,-376.28,-226.32,567.64
Charles,bicep curls,0,0.20143604278564453,0.01,0.91,-0.14,-114,-927,193,-376.28,-226.32,567.64
Charles,bicep curls,0,0.20143604278564453,0.01,0.91,-0.14,-114,-927,193,-376.28,-226.32,567.64
Charles,bicep curls,0,0.20143604278564453,0.01,0.91,-0.14,-114,-927,193,-376.28,-226.32,567.64
Charles,bicep curls,0,0.20143604278564453,0.01,0.91,-0.14,-114,-927,193,-376.28,-226.32,567.64
Charles,bicep curls,0,0.20143604278564453,0.01,0.91,-0.14,-114,-927,193,-376.28,-226.32,567.64
Charles,bicep curls,0,0.20143604278564453,0.01,0.91,-0.14,-114,-927,193,-376.28,-226.32,567.64
Charles,bicep curls,0,0.20143604278564453,0.01,0.91,-0.14,-114,-927,193,-376.28,-226.32,567.64
Charles,bicep curls,0,0.20143604278564453,0.01,0.91,-0.14,-114,-927,193,-376.28,-226.32,567.64
Charles,bicep curls,0,0.20143604278564453,0.01,0.91,-0.14,-114,-927,193,-376.28,-226.32,567.64
Charles,bicep curls,0,0.20143604278564453,0.01,0.91,-0.14,-114,-927,193,-376.28,-226.32,567.64
Charles,bicep curls,0,0.20143604278564453,0.01,0.91,-0.14,-114,-927,193,-376.28,-226.32,567.64
Charles,bicep curls,0,0.20143604278564453,0.01,0.91,-0.14,-114,-927,193,-376.28,-226.32,567.64
Charles,bicep curls,0,0.20143604278564453,0.01,0.91,-0.14,-114,-927,193,-376.28,-226.32,567.64
Charles,bicep curls,0,0.20143604278564453,0.01,0.91,-0.14,-114,-927,193,-376.28,-226.32,567.64
Charles,bicep curls,0,0.20143604278564453,0.01,0.91,-0.14,-114,-927,193,-376.28,-226.32,567.64
Charles,bicep curls,0,0.20143604278564453,0.01,0.91,-0.14,-114,-927,193,-376.28,-226.32,567.64
Charles,bicep curls,0,0.20143604278564453,0.01,0.91,-0.14,-114,-927,193,-376.28,-226.32,567.64
Charles,bicep curls,0,0.20143604278564453,0.01,0.91,-0.14,-114,-927,193,-376.28,-226.32,567.64
Charles,bicep curls,0,0.20143604278564453,0.01,0.91,-0.14,-114,-927,193,-376.28,-226.32,567.64
Charles,bicep curls,0,0.20143604278564453,0.01,0.91,-0.14,-114,-927,193,-376.28,-226.32,567.64
Charles,bicep curls,0,0.20143604278564453,0.01,0.91,-0.14,-114,-927,193,-376.28,-226.32,567.64
Charles,bicep curls,0,0.20143604278564453,0.01,0.91,-0.14,-114,-927,193,-376.28,-226.32,567.64
Charles,bicep curls,0,0.20143604278564453,0.01,0.91,-0.14,-114,-927,193,-376.28,-226.32,567.64
Charles,bicep curls,0,0.20143604278564453,0.01,0.91,-0.14,-114,-927,193,-376.28,-226.32,567.64
Charles,bicep curls,0,0.20143604278564453,0.01,0.91,-0.14,-114,-927,193,-376.28,-226.32,567.64
Charles,bicep curls,0,0.20143604278564453,0.01,0.91,-0.14,-114,-927,193,-376.28,-226.32,567.64
Charles,bicep curls,0,0.20143604278564453,0.01,0.91,-0.14,-114,-927,193,-376.28,-226.32,567.64
Charles,bicep curls,0,0.20143604278564453,0.01,0.91,-0.14,-114,-927,193,-376.28,-226.32,567.64
Charles,bicep curls,0,0.20143604278564453,0.01,0.91,-0.14,-114,-927,193,-376.28,-226.32,567.64
Charles,bicep curls,0,0.20143604278564453,0.01,0.91,-0.14,-114,-927,193,-376.28,-226.32,567.64
Charles,bicep curls,0,0.20143604278564453,0.01,0.91,-0.14,-114,-927,193,-376.28,-226.32,567.64
Charles,bicep curls,0,0.20143604278564453,0.01,0.91,-0.14,-114,-927,193,-376.28,-226.32,567.64
Charles,bicep curls,0,0.20143604278564453,0.01,0.91,-0.14,-114,-927,193,-376.28,-226.32,567.64
Charles,bicep curls,0,0.20143604278564453,0.01,0.91,-0.14,-114,-927,193,-376.28,-226.32,567.64
Charles,bicep curls,0,0.20143604278564453,0.01,0.91,-0.14,-114,-927,193,-376.28,-226.32,567.64
Charles,bicep curls,0,0.20143604278564453,0.01,0.91,-0.14,-114,-927,193,-376.28,-226.32,567.64
Charles,bicep curls,0,0.20143604278564453,0.01,0.91,-0.14,-114,-927,193,-376.28,-226.32,567.64
Charles,bicep curls,0,0.20143604278564453,0.01,0.91,-0.14,-114,-927,193,-376.28,-226.32,567.64
Charles,bicep curls,0,0.20143604278564453,0.01,0.91,-0.14,-114,-927,193,-376.28,-226.32,567.64
Charles,bicep curls,0,0.20143604278564453,0.01,0.91,-0.14,-114,-927,193,-376.28,-226.32,567.64
Charles,bicep curls,0,0.20143604278564453,0.01,0.91,-0.14,-114,-927,193,-376.28,-226.32,567.64
Charles,bicep curls,0,0.20143604278564453,0.01,0.91,-0.14,-114,-927,193,-376.28,-226.32,567.64
Charles,bicep curls,0,0.20143604278564453,0.01,0.91,-0.14,-114,-927,193,-376.28,-226.32,567.64
Charles,bicep curls,0,0.20143604278564453,0.01,0.91,-0.14,-114,-927,193,-376.28,-226.32,567.64
Charles,bicep curls,0,0.20143604278564453,0.01,0.91,-0.14,-114,-927,193,-376.28,-226.32,567.64
Charles,bicep curls,0,0.20143604278564453,0.01,0.91,-0.14,-114,-927,193,-376.28,-226.32,567.64
Charles,bicep curls,0,0.20143604278564453,0.01,0.91,-0.14,-114,-927,193,-376.28,-226.32,567.64
Charles,bicep curls,0,0.20143604278564453,0.01,0.91,-0.14,-114,-927,193,-376.28,-226.32,567.64
Charles,bicep curls,0,0.20143604278564453,0.01,0.91,-0.14,-114,-927,193,-376.28,-226.32,567.64
Charles,bicep curls,0,0.20143604278564453,0.01,0.91,-0.14,-114,-927,193,-376.28,-226.32,567.64
Charles,bicep curls,0,0.20143604278564453,0.01,0.91,-0.14,-114,-927,193,-376.28,-226.32,567.64
Charles,bicep curls,0,0.20143604278564453,0.01,0.91,-0.14,-114,-927,193,-376.28,-226.32,567.64
Charles,bicep curls,0,0.20143604278564453,0.01,0.91,-0.14,-114,-927,193,-376.28,-226.32,567.64
Charles,bicep curls,0,0.20143604278564453,0.01,0.91,-0.14,-114,-927,193,-376.28,-226.32,567.64
Charles,bicep curls,0,0.20143604278564453,0.01,0.91,-0.14,-114,-927,193,-376.28,-226.32,567.64
Charles,bicep curls,0,0.20143604278564453,0.01,0.91,-0.14,-114,-927,193,-376.28,-226.32,567.64
Charles,bicep curls,0,0.20143604278564453,0.01,0.91,-0.14,-114,-927,193,-376.28,-226.32,567.64
Charles,bicep curls,0,0.20143604278564453,0.01,0.91,-0.14,-114,-927,193,-376.28,-226.32,567.64
Charles,bicep curls,0,0.20143604278564453,0.01,0.91,-0.14,-114,-927,193,-376.28,-226.32,567.64
Charles,bicep curls,0,0.20143604278564453,0.01,0.91,-0.14,-114,-927,193,-376.28,-226.32,567.64
Charles,bicep curls,0,0.20143604278564453,0.01,0.91,-0.14,-114,-927,193,-376.28,-226.32,567.64
Charles,bicep curls,0,0.20143604278564453,0.01,0.91,-0.14,-114,-927,193,-376.28,-226.32,567.64
Charles,bicep curls,0,0.20143604278564453,0.01,0.91,-0.14,-114,-927,193,-376.28,-226.32,567.64
Charles,bicep curls,0,0.20143604278564453,0.01,0.91,-0.14,-114,-927,193,-376.28,-226.32,567.64
Charles,bicep curls,0,0.20143604278564453,0.01,0.91,-0.14,-114,-927,193,-376.28,-226.32,567.64
Charles,bicep curls,0,0.20143604278564453,0.01,0.91,-0.14,-114,-927,193,-376.28,-226.32,567.64
Charles,bicep curls,0,0.20143604278564453,0.01,0.91,-0.14,-114,-927,193,-376.28,-226.32,567.64
Charles,bicep curls,0,0.20143604278564453,0.01,0.91,-0.14,-114,-927,193,-376.28,-226.32,567.64
Charles,bicep curls,0,0.20143604278564453,0.01,0.91,-0.14,-114,-927,193,-376.28,-226.32,567.64
Charles,bicep curls,0,0.20143604278564453,0.01,0.91,-0.14,-114,-927,193,-376.28,-226.32,567.64
Charles,bicep curls,0,0.20143604278564453,0.01,0.91,-0.14,-114,-927,193,-376.28,-226.32,567.64
Charles,bicep curls,0,0.20143604278564453,0.01,0.91,-0.14,-114,-927,193,-376.28,-226.32,567.64
Charles,bicep curls,0,0.20143604278564453,0.01,0.91,-0.14,-114,-927,193,-376.28,-226.32,567.64
Charles,bicep curls,0,0.20143604278564453,0.01,0.91,-0.14,-114,-927,193,-376.28,-226.32,567.64
Charles,bicep curls,0,0.20143604278564453,0.01,0.91,-0.14,-114,-927,193,-376.28,-226.32,567.64
Charles,bicep curls,0,0.20143604278564453,0.01,0.91,-0.14,-114,-927,193,-376.28,-226.32,567.64
Charles,bicep curls,0,0.20143604278564453,0.01,0.91,-0.14,-114,-927,193,-376.28,-226.32,567.64
Charles,bicep curls,0,0.20143604278564453,0.01,0.91,-0.14,-114,-927,193,-376.28,-226.32,567.64
Charles,bicep curls,0,0.20143604278564453,0.01,0.91,-0.14,-114,-927,193,-376.28,-226.32,567.64
Charles,bicep curls,0,0.20143604278564453,0.01,0.91,-0.14,-114,-927,193,-376.28,-226.32,567.64
Charles,bicep curls,0,0.20143604278564453,0.01,0.91,-0.14,-114,-927,193,-376.28,-226.32,567.64
Charles,bicep curls,0,0.20143604278564453,0.01,0.91,-0.14,-114,-927,193,-376.28,-226.32,567.64
Charles,bicep curls,0,0.20143604278564453,0.01,0.91,-0.14,-114,-927,193,-376.28,-226.32,567.64
Charles,bicep curls,0,0.20143604278564453,0.01,0.91,-0.14,-114,-927,193,-376.28,-226.32,567.64
Charles,bicep curls,0,0.20143604278564453,0.01,0.91,-0.14,-114,-927,193,-376.28,-226.32,567.64
Charles,bicep curls,0,0.20143604278564453,0.01,0.91,-0.14,-114,-927,193,-376.28,-226.32,567.64
Charles,bicep curls,0,0.20143604278564453,0.01,0.91,-0.14,-114,-927,193,-376.28,-226.32,567.64
Charles,bicep curls,0,0.20143604278564453,0.01,0.91,-0.14,-114,-927,193,-376.28,-226.32,567.64
Charles,bicep curls,0,0.20143604278564453,0.01,0.91,-0.14,-114,-927,193,-376.28,-226.32,567.64
Charles,bicep curls,0,0.20143604278564453,0.01,0.91,-0.14,-114,-927,193,-376.28,-226.32,567.64
Charles,bicep curls,0,0.20143604278564453,0.01,0.91,-0.14,-114,-927,193,-376.28,-226.32,567.64
Charles,bicep curls,0,0.20143604278564453,0.01,0.91,-0.14,-114,-927,193,-376.28,-226.32,567.64
Charles,bicep curls,0,0.20143604278564453,0.01,0.91,-0.14,-114,-927,193,-376.28,-226.32,567.64
Charles,bicep curls,0,0.20143604278564453,0.01,0.91,-0.14,-114,-927,193,-376.28,-226.32,567.64
Charles,bicep curls,0,0.20143604278564453,0.01,0.91,-0.14,-114,-927,193,-376.28,-226.32,567.64
Charles,bicep curls,0,0.20143604278564453,0.01,0.91,-0.14,-114,-927,193,-376.28,-226.32,567.64
Charles,bicep curls,0,0.20143604278564453,0.01,0.91,-0.14,-114,-927,193,-376.28,-226.32,567.64
Charles,bicep curls,0,0.20143604278564453,0.01,0.91,-0.14,-114,-927,193,-376.28,-226.32,567.64
Charles,bicep curls,0,0.20143604278564453,0.01,0.91,-0.14,-114,-927,193,-376.28,-226.32,567.64
Charles,bicep curls,0,0.20143604278564453,0.01,0.91,-0.14,-114,-927,193,-376.28,-226.32,567.64
Charles,bicep curls,0,0.20143604278564453,0.01,0.91,-0.14,-114,-927,193,-376.28,-226.32,567.64
Charles,bicep curls,0,0.20143604278564453,0.01,0.91,-0.14,-114,-927,193,-376.28,-226.32,567.64
Charles,bicep curls,0,0.20143604278564453,0.01,0.91,-0.14,-114,-927,193,-376.28,-226.32,567.64
Charles,bicep curls,0,0.20143604278564453,0.01,0.91,-0.14,-114,-927,193,-376.28,-226.32,567.64
Charles,bicep curls,0,0.20143604278564453,0.01,0.91,-0.14,-114,-927,193,-376.28,-226.32,567.64
Charles,bicep curls,0,0.20143604278564453,0.01,0.91,-0.14,-114,-927,193,-376.28,-226.32,567.64
Charles,bicep curls,0,0.20143604278564453,0.01,0.91,-0.14,-114,-927,193,-376.28,-226.32,567.64
Charles,bicep curls,0,0.20143604278564453,0.01,0.91,-0.14,-114,-927,193,-376.28,-226.32,567.64
Charles,bicep curls,0,0.20143604278564453,0.01,0.91,-0.14,-114,-927,193,-376.28,-226.32,567.64
Charles,bicep curls,0,0.20143604278564453,0.01,0.91,-0.14,-114,-927,193,-376.28,-226.32,567.64
Charles,bicep curls,0,0.20143604278564453,0.01,0.91,-0.14,-114,-927,193,-376.28,-226.32,567.64
Charles,bicep curls,0,0.20143604278564453,0.01,0.91,-0.14,-114,-927,193,-376.28,-226.32,567.64
Charles,bicep curls,0,0.20143604278564453,0.01,0.91,-0.14,-114,-927,193,-376.28,-226.32,567.64
Charles,bicep curls,0,0.20143604278564453,0.01,0.91,-0.14,-114,-927,193,-376.28,-226.32,567.64
Charles,bicep curls,0,0.20143604278564453,0.01,0.91,-0.14,-114,-927,193,-376.28,-226.32,567.64
Charles,bicep curls,0,0.20143604278564453,0.01,0.91,-0.14,-114,-927,193,-376.28,-226.32,567.64
Charles,bicep curls,0,0.20143604278564453,0.01,0.91,-0.14,-114,-927,193,-376.28,-226.32,567.64
Charles,bicep curls,0,0.20143604278564453,0.01,0.91,-0.14,-114,-927,193,-376.28,-226.32,567.64
Charles,bicep curls,0,0.20143604278564453,0.01,0.91,-0.14,-114,-927,193,-376.28,-226.32,567.64
Charles,bicep curls,0,0.20143604278564453,0.01,0.91,-0.14,-114,-927,193,-376.28,-226.32,567.64
Charles,bicep curls,0,0.20143604278564453,0.01,0.91,-0.14,-114,-927,193,-376.28,-226.32,567.64
Charles,bicep curls,0,0.20143604278564453,0.01,0.91,-0.14,-114,-927,193,-376.28,-226.32,567.64
Charles,bicep curls,0,0.20143604278564453,0.01,0.91,-0.14,-114,-927,193,-376.28,-226.32,567.64
Charles,bicep curls,0,0.20143604278564453,0.01,0.91,-0.14,-114,-927,193,-376.28,-226.32,567.64
Charles,bicep curls,0,0.20143604278564453,0.01,0.91,-0.14,-114,-927,193,-376.28,-226.32,567.64
Charles,bicep curls,0,0.20143604278564453,0.01,0.91,-0.14,-114,-927,193,-376.28,-226.32,567.64
Charles,bicep curls,0,0.20143604278564453,0.01,0.91,-0.14,-114,-927,193,-376.28,-226.32,567.64
Charles,bicep curls,0,0.20143604278564453,0.01,0.91,-0.14,-114,-927,193,-376.28,-226.32,567.64
Charles,bicep curls,0,0.20143604278564453,0.01,0.91,-0.14,-114,-927,193,-376.28,-226.32,567.64
Charles,bicep curls,0,0.20143604278564453,0.01,0.91,-0.14,-114,-927,193,-376.28,-226.32,567.64
Charles,bicep curls,0,0.20143604278564453,0.01,0.91,-0.14,-114,-927,193,-376.28,-226.32,567.64
Charles,bicep curls,0,0.20143604278564453,0.01,0.91,-0.14,-114,-927,193,-376.28,-226.32,567.64
Charles,bicep curls,0,0.20143604278564453,0.01,0.91,-0.14,-114,-927,193,-376.28,-226.32,567.64
Charles,bicep curls,0,0.20143604278564453,0.01,0.91,-0.14,-114,-927,193,-376.28,-226.32,567.64
Charles,bicep curls,0,0.20143604278564453,0.01,0.91,-0.14,-114,-927,193,-376.28,-226.32,567.64
Charles,bicep curls,0,0.20143604278564453,0.01,0.91,-0.14,-114,-927,193,-376.28,-226.32,567.64
Charles,bicep curls,0,0.20143604278564453,0.01,0.91,-0.14,-114,-927,193,-376.28,-226.32,567.64
Charles,bicep curls,0,0.20143604278564453,0.01,0.91,-0.14,-114,-927,193,-376.28,-226.32,567.64
Charles,bicep curls,0,0.20143604278564453,0.01,0.91,-0.14,-114,-927,193,-376.28,-226.32,567.64
Charles,bicep curls,0,0.20143604278564453,0.01,0.91,-0.14,-114,-927,193,-376.28,-226.32,567.64
Charles,bicep curls,0,0.20143604278564453,0.01,0.91,-0.14,-114,-927,193,-376.28,-226.32,567.64
Charles,bicep curls,0,0.20143604278564453,0.01,0.91,-0.14,-114,-927,193,-376.28,-226.32,567.64
Charles,bicep curls,0,0.20143604278564453,0.01,0.91,-0.14,-114,-927,193,-376.28,-226.32,567.64
Charles,bicep curls,0,0.20143604278564453,0.01,0.91,-0.14,-114,-927,193,-376.28,-226.32,567.64
Charles,bicep curls,0,0.20143604278564453,0.01,0.91,-0.14,-114,-927,193,-376.28,-226.32,567.64
Charles,bicep curls,0,0.20143604278564453,0.01,0.91,-0.14,-114,-927,193,-376.28,-226.32,567.64
Charles,bicep curls,0,0.20143604278564453,0.01,0.91,-0.14,-114,-927,193,-376.28,-226.32,567.64
Charles,bicep curls,0,0.20143604278564453,0.01,0.91,-0.14,-114,-927,193,-376.28,-226.32,567.64
Charles,bicep curls,0,0.20143604278564453,0.01,0.91,-0.14,-114,-927,193,-376.28,-226.32,567.64
Charles,bicep curls,0,0.20143604278564453,0.01,0.91,-0.14,-114,-927,193,-376.28,-226.32,567.64
Charles,bicep curls,0,0.20143604278564453,0.01,0.91,-0.14,-114,-927,193,-376.28,-226.32,567.64
Charles,bicep curls,0,0.20143604278564453,0.01,0.91,-0.14,-114,-927,193,-376.28,-226.32,567.64
Charles,bicep curls,0,0.20143604278564453,0.01,0.91,-0.14,-114,-927,193,-376.28,-226.32,567.64
Charles,bicep curls,0,0.20143604278564453,0.01,0.91,-0.14,-114,-927,193,-376.28,-226.32,567.64
Charles,bicep curls,0,0.20143604278564453,0.01,0.91,-0.14,-114,-927,193,-376.28,-226.32,567.64
Charles,bicep curls,0,0.20143604278564453,0.01,0.91,-0.14,-114,-927,193,-376.28,-226.32,567.64
Charles,bicep curls,0,0.20143604278564453,0.01,0.91,-0.14,-114,-927,193,-376.28,-226.32,567.64
Charles,bicep curls,0,0.20143604278564453,0.01,0.91,-0.14,-114,-927,193,-376.28,-226.32,567.64
Charles,bicep curls,0,0.20143604278564453,0.01,0.91,-0.14,-114,-927,193,-376.28,-226.32,567.64
Charles,bicep curls,0,0.20143604278564453,0.01,0.91,-0.14,-114,-927,193,-376.28,-226.32,567.64
Charles,bicep curls,0,0.20143604278564453,0.01,0.91,-0.14,-114,-927,193,-376.28,-226.32,567.64
Charles,bicep curls,0,0.20143604278564453,0.01,0.91,-0.14,-114,-927,193,-376.28,-226.32,567.64
Charles,bicep curls,0,0.20143604278564453,0.01,0.91,-0.14,-114,-927,193,-376.28,-226.32,567.64
Charles,bicep curls,0,0.20143604278564453,0.01,0.91,-0.14,-114,-927,193,-376.28,-226.32,567.64
